Ligand	Receptor
INHBB	ACVR2B,SMAD3,ACVR1B,ACVR2A,ACVR1C,ACVR1
INHBC	ACVR2B,ACVR1B,ACVR2A,ACVR1
INHBE	ACVR2B,ACVR2A
INS	LRP2,IGF1R,INSR,LILRB1,LILRB2
INSL3	ADCYAP1R1,TSHR,GPR84,RXFP1,RAMP3,RAMP2,RXFP2,ADRB2,PTH1R,VIPR1,ADRB3,GPR20
INSL5	MTNR1A,RXFP4,RXFP3,GRM7,ADRA2A
IRAK4	TLR4,TLR7,TLR6
ITGB3BP	ITGB3,ITGB5
ITIH2	FCER1A
IZUMO1	CD9,IZUMO1R
JAG1	CD46,NOTCH4,NOTCH1,NOTCH2,NOTCH3
JAG2	NOTCH4,NOTCH2,NOTCH3,NOTCH1
JAM3	ITGB1,ITGB2
KISS1	KISS1R,MMP24
KITLG	KIT,EPOR
KLK3	EPOR
KNG1	ITGAM,ADRA2A,RXFP4,PLAUR,MTNR1A,ITGB2,SDC2,GRM7,BDKRB2,GP1BA,BDKRB1,CD93
L1CAM	FGFR2,EPHB2,CNTN1,ITGAV,ERBB3,ERBB2,EGFR,ITGA5
LACRT	SDC1
LAMA1	ITGA6,ITGA7,ITGB1,ITGA3,ITGB4,ITGB8,NT5E,GPC1,ITGA1,ITGA2,SDC2,RPSA,SDC4,TMPRSS6
LAMA2	ITGA7,ITGA3,ITGB4,ITGA1,ITGA2,RPSA,ITGB1,ITGA6
LAMA3	ITGB1,ITGA3,ITGB4,SDC2
LAMA4	ITGA6,ITGAV,ITGB1,ITGA3
LAMA5	SDC1,ITGA6,BCAM,ITGB1,ITGA2,ITGA3,ITGB4
LAMB1	ITGA7,ITGAV,ITGB1,ITGA6,ITGA1,ITGA2,ITGA3,ITGB4
LAMB2	ITGA3,ITGB4,RPSA,ITGB1
LAMB3	CD151,ITGB1,ITGA6,ITGA3,ITGB4,ITGA2,COL17A1
LAMC1	ITGA6,ITGA1,ITGA7,ITGAV,ITGB1,ITGA2,ITGA3,ITGB4
LAMC2	ITGA6,CD151,ITGB1,ITGA2,COL17A1,ITGA3,ITGB4
LAMC3	ITGA6,ITGB1,ITGA3,ITGB4,ITGA2
LCN1	LMBR1L
LCN2	LRP2
LEFTY1	ACVR2B,ACVR1B,ACVR2A
LEFTY2	ACVR1B,ACVR2A,ACVR2B
LEP	LEPR,LRP2
LGALS1	ITGB1,PTPRC
LGALS3BP	ITGB1,CD33
LGALS8	ITGA3
LGALS9	CD44,SLC1A5,MRC2,HAVCR2,CD47
LHB	PTH1R,ADCYAP1R1,RAMP2,VIPR1,RAMP3,GPR20,ADRB2,ADRB3,TSHR,LHCGR,GPR84
LIF	LIFR,IL6ST
LIN7C	ABCA1,KCNJ4,HTR2C
LIPC	LRP1
LIPH	LPAR1,LPAR4,LPAR2
LMAN1	MCFD2
LPA	ITGAM,LPAR3,ITGB2,LPAR1,LPAR4,LPAR2,LRP2
LPL	GPIHBP1,CD44,SDC1,VLDLR,LRP1,LRP2
LRIG1	EGFR,MET
LRIG2	EGFR
LRPAP1	LDLR,LRP1,SORT1,SORL1,LRP2,LRP8,VLDLR
LTA	TNFRSF1A,LTBR,RIPK1,TNFRSF14,TNFRSF1B
LTB	TNFRSF1A,LTBR,CD40
LTBP1	ITGB5
LTBP3	ITGB5
LTF	LRP1,TFRC
LUM	ITGB1
LYPD3	AGR2
LYZ	ITGAL
MADCAM1	ITGA4,CD44,ITGB7
MATN1	ITGA1
MBL2	CD93,CALCR
MDK	ITGA6,LRP1,SORL1,LRP2,GPC2,SDC3,TSPAN1,SDC4,SDC1,ALK,PTPRZ1,ITGB1,ITGA4
MEGF10	ABCA1
MELTF	TFRC
MEPE	PHEX
MFAP2	NOTCH1
MFAP5	NOTCH1
MFGE8	ITGB3,ITGAV,PDGFRB
MFNG	NOTCH2,NOTCH1
MIA	CDH7
MICA	KLRK1
MICB	KLRK1
MIF	CXCR4,CD44,EGFR,CXCR2,CD74
MLN	MLNR
MMP1	CD44,ITGA2
MMP12	PLAUR
MMP13	LRP1
MMP2	PECAM1,CCR2,SDC2,FGFR1
MMP7	CD44,SDC1,CD151,ERBB4
MMP9	ITGAM,RECK,CD44,ITGB2,EPHB2,LRP1,IFNAR1,TLR9
MST1	MST1R
MSTN	ACVR2B
MTMR4	SMAD3
MUC7	SELL
NAMPT	ADORA2A
NCAM1	CACNA1C,GFRA1,PTPRA,FGFR1,FGFR2,ROBO1
NCAN	CDH2,SDC3
NCR3LG1	NCR3
NDP	FZD4,LGR4
NGF	NTRK1,SORCS2,TRPV1,MAGED1,BEX3,SORCS3,NGFR,SORT1,KIDINS220
NID1	ITGB1,ITGB3,COL13A1,PTPRF,ITGA3,ITGAV
NID2	COL13A1
NLGN1	NRXN3,NRXN2,NRXN1
NLGN2	NRXN1,NRXN3,MDGA1,NRXN2
NLGN3	NRXN1,NRXN3,NRXN2
NMB	NMBR,BRS3,GRPR
NMS	NMUR2,ADRA2A,MTNR1A,NMUR1,GRM7
NMU	ADRA2A,GRM7,NMUR1,MTNR1A,NMUR2
NODAL	ACVR2B,SMAD3,ACVR1B,ACVR2A,ACVR1C
NPB	NPBWR2,GRM7,ADRA2A,MTNR1A,NPBWR1
NPFF	NPFFR1,NPFFR2
NPNT	ITGA8,ITGB1
NPPA	NPR3,NPR2,NPR1
NPPB	NPR3,NPR2,DPP4,NPR1
NPPC	NPR3,NPR2,NPR1
NPS	ADCYAP1R1,GPR84,TSHR,RAMP3,RAMP2,ADRB2,PTH1R,VIPR1,ADRB3,GPR20,NPSR1
NPTX1	NPTXR
NPTX2	NPTXR
NPVF	NPFFR1,NPFFR2
NPW	NPBWR2,GRM7,NPBWR1,ADRA2A,MTNR1A
NPY	NPY5R,FAP,PRLHR,ADRA2A,MC4R,MTNR1A,NPFFR2,NPY2R,GRM7,DPP4,NPY1R,NPY4R
NRG1	GPC1,ERBB3,ERBB2,EGFR,MS4A4A,ADGRL1,ERBB4,LGR4
NRG2	ERBB3,ERBB2,ERBB4
NRG3	ERBB3,ERBB2,ERBB4
NRG4	ERBB2,EGFR,ERBB4
NRTN	RET,GFRA2,GFRA1,GFRA3
NTF3	NTRK1,NGFR,NTRK2,NTRK3
NTF4	NGFR,NTRK2,BEX3,NTRK1
NTN1	UNC5D,UNC5B,DCC,UNC5A,ADORA2B,UNC5C,NEO1
NTN3	NEO1,CDON
NTN4	DCC,UNC5A
NTNG1	LRRC4C
NTNG2	LRRC4,LRRC4C
NTS	SORT1,NTSR1,NTSR2,NGFR
NUCB2	ERAP1
NXPH1	NRXN1,NRXN3,NRXN2
NXPH2	NRXN1
NXPH3	NRXN1,NRXN3,NRXN2
OBP2A	OR1G1
OLFM2	ROBO2
OMG	RTN4RL1,LINGO1,RTN4R,NGFR
ORM1	CCR5
OSM	LIFR,IL6ST,OSMR
OSTN	NPR3
OXT	AVPR2,AVPR1B,AVPR1A,OXTR
P4HB	MTTP
PCSK1N	GPR171
PCSK9	VLDLR,LDLR,LRP1,SORT1,APLP2
PDAP1	PDGFRB
PDCD1LG2	PDCD2,PDCD1
PDGFA	PDGFRA,PDGFRB
PDGFB	LRP1,ART1,PDGFRA,ITGAV,PDGFRB,S1PR1
PDGFC	PDGFRA,PDGFRB,FLT4,KDR,FLT1
PDGFD	PDGFRA,PDGFRB
PDX1	SLC2A2
PDYN	OPRD1,OPRK1,ADRA2A,MTNR1A,GRM7,OPRM1
PENK	OPRM1,GRM7,OPRD1,OPRK1,ADRA2A,OGFR,MTNR1A,MRGPRX1
PF4	CXCR3,FGFR2,SDC2,ACKR1,GRM7,LDLR,THBD,MTNR1A,PROCR,LRP1,ADRA2A
PGF	NRP1,FLT1,NRP2
PI3	PLD2
PIGA	PIGR
PIGF	FLT1
PIP	AQP5,CD4,NPTN
PKM	CD44
PLA2G10	PLA2R1
PLAT	ITGAM,LRP1,ITGB2
PLAU	ITGAM,VLDLR,ITGB1,ITGB2,ITGA3,LRP1,ITGAV,LRP2,ST14,ITGA5,ITGB5,MRC2,PLAUR,IGF2R
PLG	ITGAM,ITGB1,PLAUR,ITGB2,F2R,IGF2R,F3,PLGRKT,ITGA9,FLT1,F2RL1
PLTP	ABCA1
PMCH	GRM7,MCHR1,ADRA2A,MCHR2,MTNR1A
PNOC	GRM7,OPRL1,MTNR1A,ADRA2A
PODXL	SELL
PODXL2	SELL
POMC	ADCYAP1R1,OPRM1,MC1R,GPR84,TSHR,OPRD1,RAMP3,MC3R,RAMP2,OPRK1,ADRA2A,MC4R,MTNR1A,ADRB2,MC5R,PTH1R,VIPR1,MC2R,ADRB3,GRM7,GPR20
PON2	HTR2A
PPBP	MTNR1A,ACKR1,CXCR2,GRM7,ADRA2A,CXCR1
PPY	ADRA2A,MTNR1A,NPY2R,GRM7,NPY1R,NPY4R,NPY5R
PRG4	CD44
PRL	PRLR
PRLH	PRLHR
PRND	RPSA
PROC	ITGAM,ITGB2,THBD,PROCR
PROK1	PROKR1,PROKR2
PROK2	PROKR1,PROKR2
PROS1	TYRO3,MERTK,AXL
PSAP	LRP1,SORT1,GPR37,GPR37L1,CD1B,AR
PSEN1	NOTCH4,CD44,NOTCH2,NOTCH3,NOTCH1,NCSTN
PSPN	GFRA3,RET,SDC3,GFRA2,GFRA4,GFRA1
PTGS2	ALOX5,PTGDR2,CAV1
PTH	ADCYAP1R1,ADRB2,GPR84,PTH1R,VIPR1,GPR20,ADRB3,TSHR,RAMP3,RAMP2,LRP6,PTH2R
PTH2	PTH1R,ADCYAP1R1,TSHR,GPR20,GPR84,ADRB2,ADRB3,VIPR1,PTH2R,RAMP3,RAMP2
PTHLH	ADCYAP1R1,GPR84,RAMP3,RAMP2,PTH2R,ADRB2,PTH1R,VIPR1,ADRB3,GPR20,TSHR
PTMA	VIPR1
PTN	SDC1,SDC3,PTPRZ1,PTPRS,ALK,PTPRB
PTPN11	FCRL4
PTPN6	CD300LF,FCRL4,CLEC12A
PYY	NPY5R,DPP4,NPY1R,NPY4R,FAP,ADRA2A,MTNR1A,NPY2R,GRM7
QDPR	DYSF
QRFP	QRFPR
RAET1E	KLRK1
RAET1G	KLRK1
RAET1L	KLRK1
RARRES2	GPR1,CMKLR1,CCRL2
RBP3	NOTCH1
RBP4	STRA6
RELN	ITGA3,LRP8,VLDLR,ITGB1
REN	ATP6AP2
RETN	GPR25
RGMA	HJV,NEO1,BMPR2,BMPR1B,HFE,TFR2
RGMB	HJV,BMPR2,NEO1,BMPR1B
RIMS1	SLC17A7,CACNA1C,SLC18A2,SLC18A3
RIMS2	ABCA1
RLN1	RXFP2,RXFP1
RLN2	ADCYAP1R1,TSHR,GPR84,RXFP1,RAMP3,RAMP2,RXFP2,ADRB2,PTH1R,VIPR1,RXFP3,ADRB3,GPR20
RLN3	ADCYAP1R1,TSHR,GPR84,RXFP1,RAMP3,RAMP2,ADRA2A,RXFP2,MTNR1A,ADRB2,PTH1R,VIPR1,RXFP3,ADRB3,GRM7,RXFP4,GPR20
RNASE2	TLR2
RPH3A	NRXN1
RSPO1	LGR6,LGR4,ZNRF3,FZD8,LRP6,LGR5
RSPO2	LGR6,LGR4,ZNRF3,LGR5
RSPO3	LGR6,LGR4,SDC4,FZD8,LRP6,LGR5
RSPO4	LGR6,LGR4,LGR5
RTN4	TNFRSF19,GJB2,LINGO1,RTN4R,NGFR,CNTNAP1,RTN4RL1
S100A1	TRPM3,RYR2,RYR1,TLR4,AGER
S100A10	CFTR,TRPV6
S100A12	TLR4,CD36
S100A4	PGLYRP1,ERBB2,EGFR,CCR5
S100A8	ITGB2,TLR4,CD36,AGER,CD69,CD68
S100A9	ITGB2,TLR4,CD36,AGER,CD68,ALCAM
S100B	ALCAM,AGER
SAA1	FPR2,FPR1,TLR2,SCARB1,ADRA2A,MTNR1A,GRM7
SCGB1A1	LRP2,LMBR1L
SCGB3A1	MARCO,NOTCH3
SCGB3A2	MARCO
SCT	PTH1R,ADCYAP1R1,RAMP2,VIPR1,RAMP3,GPR20,ADRB2,VIPR2,ADRB3,TSHR,GPR84,SCTR
SELPLG	ITGAM,ESAM,SELL,SELP,SELE,ITGB2
SEMA3A	PLXNA4,PLXNA3,PLXNA1,NRP1,PLXNA2,NRP2
SEMA3B	NRP1,NRP2
SEMA3C	PLXND1,NRP1,NRP2
SEMA3D	PLXND1,NRP1
SEMA3E	PLXND1,NRP1
SEMA3F	PLXNA3,PLXNA1,NRP1,NRP2
SEMA3G	NRP2
SEMA4A	PLXNB2,PLXNB3,NRP1,PLXND1,PLXNB1
SEMA4B	DCBLD2
SEMA4C	PLXNB2
SEMA4D	ERBB2,MET,PLXNB1,CD72,PLXNB2
SEMA4F	NRP2
SEMA4G	PLXNB2
SEMA5A	PLXNB3,MET
SEMA6A	PLXNA4,PLXNA2
SEMA6D	TREM2,PLXNA1,TYROBP,KDR
SEMA7A	ITGB1,ITGA1,PLXNC1
SERPINA1	LRP1
SERPINA7	SLC16A2
SERPINC1	GPC1,SDC2
SERPINE1	LRP2,PLAUR,ITGAV,LRP1,ITGB5
SERPINE2	LRP1
SERPING1	SELE,SELP
SFRP1	FZD2,FZD6
SFRP2	FZD5
SFTPA1	TLR2
SFTPA2	CD93
SFTPD	SIRPA,TLR4,LY96
SHANK1	ADGRB2,ABCA1,SSTR2,ADGRL2,ADGRL1
SHANK2	CFTR
SHBG	CLDN4,GPRC6A,SLC37A1
SHH	SCUBE2,BOC,GPC5,CDON,GAS1,PTCH1,PTCH2,SMO,LRP2,GPC1,HHIP
SLIT1	ROBO1,FLRT3,GPC1
SLIT2	GPC1,ROBO4,SDC1,DCC,ROBO2,ROBO1
SLIT3	ROBO2,ROBO1
SLPI	PLSCR4,CD4
SLURP1	CHRNA7
SORBS1	ITGA1,ITGB5,INSR
SOST	LRP6,LRP5
SOSTDC1	LRP6
SPINK1	NRSN1,EGFR
SPINT1	ST14
SPON2	ITGB2,ITGAM
SPP1	ITGA4,CD44,ITGB1,ITGB3,ITGAV,ITGA9,ITGA5,ITGB5,PTGER4
SPTAN1	PTPRA
SPTBN2	PTPRA
SPX	GALR2
SST	SSTR5,SSTR2,MTNR1A,SSTR3,GRM7,SSTR4,SSTR1,ADRA2A
ST6GAL1	EGFR,CD22
SYK	LAT,FCGR2A
SYTL3	NRXN1
TAC1	TACR2,TACR3,TACR1
TAC3	TACR3,TACR1,TACR2
TAC4	TACR2,TACR3,TACR1
TCN2	LRP2,CNR1
TCTN1	TMEM67
TDGF1	ACVR2B,SMAD3,ACVR1B,ACVR2A,ACVR1C,GPC1
TF	LDLR,TFR2,HFE,LRP2,ADRB2,TFRC
TFF1	MUC5AC,FCRL4
TFF2	MUC6
TFPI	VLDLR,LRP1,SDC4,F3
TG	ASGR1,LRP2,TPO
TGFA	ERBB4,ERBB3,ERBB2,EGFR
TGFB1	ENG,EGFR,SMAD3,TGFBR2,ITGB3,TGFBR1,ACVRL1,ITGB6,ITGAV,ITGB1,CAV1,SDC2,ITGB8,CXCR4,ITGB5,TGFBR3
TGFB2	ENG,TGFBR1,TGFBR3,ACVR1,TGFBR2
TGFB3	ENG,ITGB1,TGFBR2,ITGB3,TGFBR1,ACVRL1,ITGB6,ITGB5,TGFBR3
TGM2	ITGA4,ITGB1,ITGB3,SDC4,TBXA2R,ADGRG1,ITGA9
TGS1	RXRA
THBS1	ITGA4,CD47,SDC1,ITGB1,LRP5,ITGA2B,ITGB3,SDC4,SCARB1,ITGA6,TNFRSF11B,CD36,ITGA3,LRP1
THBS2	ITGA4,ITGB1,ITGB3,NOTCH4,ITGA6,CD36,NOTCH3,CD47
THPO	MPL
TIMP1	FGFR2,CD63
TIMP2	CD44,ITGB1,ITGA3
TIMP3	CD44,MET,AGTR2,KDR
TLN1	ITGB3,ITGB5
TNC	ITGA5,SDC1,EGFR,ITGB3,ITGB6,PTPRB,ITGA8,ITGA7,ITGB1,SDC4,CNTN1,ITGA2,ITGAV,ITGA9
TNF	FFAR2,TNFRSF1A,TRAF2,RIPK1,FLT4,CELSR2,NOTCH1,TNFRSF21,ICOS,TRADD,FAS,PTPRS,TNFRSF1B,VSIR,TRPM2
TNFSF10	TNFRSF10D,RIPK1,TNFRSF10B,TNFRSF10C,TNFRSF11B,TNFRSF10A
TNFSF11	TNFRSF11A,TNFRSF11B,LGR4
TNFSF12	TNFRSF25,TNFRSF12A,TNFRSF8
TNFSF13	TNFRSF14,FAS,TNFRSF17,TNFRSF1A,TNFRSF13B,TNFRSF11B,SDC2
TNFSF13B	TNFRSF17,TNFRSF13B,TNFRSF13C,TFRC,CD40
TNFSF14	LTBR,TNFRSF14,TNFRSF6B
TNFSF15	TNFRSF25,TNFRSF6B
TNFSF18	TNFRSF18
TNFSF4	TNFRSF4,TRAF2
TNFSF8	TNFRSF8
TNFSF9	TNFRSF9,PVR,TRAF2
TPH1	HTR7,HTR1A,HTR1F,HTR1D,HTR2C,HTR4,HTR6,HTR1B,HTR2A,HTR2B,HTR5A,HTR1E
TRH	TRHR
TSHB	PTH1R,ADCYAP1R1,VIPR1,GPR20,ADRB2,ADRB3,TSHR,GPR84,RAMP3,RAMP2
TSLP	IL7R
UCN	CRHR1,CRHR2
UCN2	IL10RB,CRHR2,CRHR1
UCN3	CRHR1,IL10RB,CRHR2
ULBP1	KLRK1
ULBP2	KLRK1
ULBP3	KLRK1
UTS2	UTS2R
UTS2B	UTS2R
VASP	CXCR2
VCAM1	ITGA4,ITGB1,ITGB2,EZR,MSN,ITGAD,ITGA9,ITGB7
VCAN	ITGA4,CD44,EGFR,ITGB1,TLR1,SELL,TLR2,SELP
VCL	ITGB5,ALK
VEGFA	ITGAV,TYRO3,KDR,GPC1,ITGA9,NRP1,EGFR,FLT1,RET,NRP2,EPHB2,ITGB1,SIRPA,ITGB3,GRIN2B
VEGFB	RET,NRP1,FLT1
VEGFC	LYVE1,FLT4,KDR,ITGA9,FLT1,NRP2,ITGB1,CCBE1
VEGFD	ITGA4,ITGB1,NRP2,FLT4,KDR,ITGA9,FLT1,ITGA1,ITGA5,ITGA2
VIM	CD44
VIP	ADCYAP1R1,GPR84,GPR20,TSHR,SCTR,RAMP3,RAMP2,RAMP1,VIPR2,NPR3,AVPR1A,ADRB2,PTH1R,VIPR1,ADRB3,DPP4
VTN	ITGA5,ITGA8,CD47,ITGAV,ITGB1,KDR,PLAUR,ITGA2B,ITGB3,ITGB6,TNFRSF11B,PVR,ITGB5,ITGA3,ITGB8
VWF	SCARA5,ITGA2B,ITGB3,STAB2,SELP,SIRPA,TNFRSF11B,GP1BA,LRP1
WIF1	RYK
WNT1	RYK,ROR2,LRP5,FZD9,FZD3,FZD8,FZD5,LRP6,FZD7,FZD1
WNT11	MUSK,KLRG2,FZD7
WNT16	FZD6
WNT2	FZD1,FZD4,FZD9,FZD7,FZD3,FZD8,FZD5,FZD2,LRP6
WNT2B	FZD4
WNT3	RYK,LRP6,ROR2,FZD1,FZD7,FZD8,FZD5
WNT3A	LRP5,FZD5,ROR1,ATP6AP2,APCDD1,RYK,FZD1,FZD7,FZD3,FZD8,FZD2,FZD6,LRP1,LRP6,LGR5
WNT4	FZD8,FZD2,FZD6,SMO,NOTCH1,FZD1
WNT5A	PTK7,LDLR,LRP5,EPHA7,FZD5,ROR1,VANGL2,RYK,ROR2,PTPRK,ADRB2,FZD1,FZD4,FZD9,FZD7,FZD3,FZD8,FZD2,ANTXR1,FZD6,LRP6,LRP2,MCAM
WNT5B	KLRG2
WNT6	FZD4
WNT7A	LDLR,RECK,FZD9,FZD5,FZD10,LRP6
WNT7B	FZD4,TMED5,FZD10,FZD1,LRP5
WNT8A	LRP5
WNT8B	LRP5
WNT9B	LRP6
XCL1	ADGRV1,XCR1
XCL2	XCR1
YARS1	CXCR1
ZG16B	TLR5,CXCR4,TLR2,TLR4
ZP3	EGFR
FCGR2B	FCER1A,FCER1G,INPP5D,MS4A2,RAF1,DOK1,RASA1,BCR,CSK,CD79A
